Order ID,Customer Name,Region,City,Location,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode,Revenue,Profit Margin%,Discount Category,
10001,Kashvi Varty,South,Bangalore,South - Bangalore,Books,Non-Fiction,Non-Fiction Ipsum,2,36294,5,68958.6,10525.09,Debit Card,68958.6,15.00%,Low Discount,
10002,Advik Desai,North,Delhi,North - Delhi,Groceries,Rice,Rice Nemo,1,42165,20,33732,6299.66,Debit Card,33732,19.00%,High Discount,
10003,Rhea Kalla,East,Patna,East - Patna,Kitchen,Juicer,Juicer Odio,4,64876,20,207603.2,19850.27,Credit Card,207603.2,10.00%,High Discount,
10004,Anika Sen,East,Kolkata,East - Kolkata,Groceries,Oil,Oil Doloribus,5,37320,15,158610,36311.02,UPI,158610,23.00%,Medium Discount,
10005,Akarsh Kaul,West,Pune,West - Pune,Clothing,Kids Wear,Kids Wear Quo,1,50037,10,45033.3,9050.04,Debit Card,45033.3,20.00%,Medium Discount,
10006,Vardaniya Jayaraman,West,Pune,West - Pune,Furniture,Chair,Chair Assumenda,5,40287,15,171219.75,23722.84,Credit Card,171219.75,14.00%,Medium Discount,
10007,Drishya Khare,West,Mumbai,West - Mumbai,Clothing,Accessories,Accessories Minima,2,3636,5,6908.4,680.26,Debit Card,6908.4,10.00%,Low Discount,
10008,Misha Dua,North,Lucknow,North - Lucknow,Books,Biography,Biography Vel,1,15885,10,14296.5,1289.03,Debit Card,14296.5,9.00%,Medium Discount,
10009,Arhaan Vala,North,Jaipur,North - Jaipur,Groceries,Spices,Spices Expedita,1,40834,20,32667.2,3700.89,Credit Card,32667.2,11.00%,High Discount,
10010,Lavanya Hayer,West,Goa,West - Goa,Kitchen,Juicer,Juicer Voluptatibus,2,16686,15,28366.2,5703.09,UPI,28366.2,20.00%,Medium Discount,
10011,Divyansh Thaman,North,Lucknow,North - Lucknow,Kitchen,Cookware Set,Cookware Set Doloremque,2,10761,20,17217.6,4139.82,Credit Card,17217.6,24.00%,High Discount,
10012,Nishith Kumar,South,Hyderabad,South - Hyderabad,Beauty,Perfume,Perfume Itaque,3,27066,10,73078.2,16216.55,Net Banking,73078.2,22.00%,Medium Discount,
10013,Anika Khanna,North,Chandigarh,North - Chandigarh,Home Decor,Vase,Vase Ratione,1,53951,5,51253.45,6826.05,Credit Card,51253.45,13.00%,Low Discount,
10014,Amani Acharya,East,Patna,East - Patna,Clothing,Women's Wear,Women's Wear Optio,5,23843,0,119215,21029.48,UPI,119215,18.00%,No Discount,
10015,Anay Grewal,North,Jaipur,North - Jaipur,Kitchen,Juicer,Juicer Debitis,2,15444,5,29343.6,5535.44,COD,29343.6,19.00%,Low Discount,
10016,Stuvan Majumdar,East,Bhubaneswar,East - Bhubaneswar,Electronics,Laptop,Laptop Numquam,5,51645,10,232402.5,35657.72,Debit Card,232402.5,15.00%,Medium Discount,
10017,Ritvik Ramanathan,South,Hyderabad,South - Hyderabad,Electronics,Smartwatch,Smartwatch Ad,3,52691,15,134362.05,26225.16,UPI,134362.05,20.00%,Medium Discount,
10018,Darshit Sharma,South,Chennai,South - Chennai,Groceries,Oil,Oil Odio,4,3775,10,13590,1234.71,Net Banking,13590,9.00%,Medium Discount,
10019,Sara Chanda,East,Patna,East - Patna,Sports,Dumbbells,Dumbbells Soluta,3,16579,20,39789.6,4240.62,Credit Card,39789.6,11.00%,High Discount,
10020,Gatik Ravi,West,Pune,West - Pune,Books,Textbook,Textbook Inventore,5,36393,5,172866.75,39437.91,Debit Card,172866.75,23.00%,Low Discount,
10021,Jivin Sunder,West,Ahmedabad,West - Ahmedabad,Kitchen,Refrigerator,Refrigerator Commodi,1,6574,20,5259.2,580.75,UPI,5259.2,11.00%,High Discount,
10022,Kashvi Ratti,North,Lucknow,North - Lucknow,Groceries,Wheat,Wheat Natus,5,26762,15,113738.5,27267.31,Credit Card,113738.5,24.00%,Medium Discount,
10023,Vivaan Goyal,West,Surat,West - Surat,Books,Comics,Comics Aperiam,1,47699,20,38159.2,8535.56,UPI,38159.2,22.00%,High Discount,
10024,Nayantara Bhagat,East,Ranchi,East - Ranchi,Beauty,Face Cream,Face Cream Repellat,1,28257,10,25431.3,3959.79,Credit Card,25431.3,16.00%,Medium Discount,
